!p0&p1&a&b;p0&!p1&a&b;!p0&!p1&!a&b;!p0&p1&a&b;p0&!p1&!a&!b;!p0&p1&!a&b;!p0&p1&!a&!b;!p0&!p1&!a&!b;p0&!p1&a&!b;p0&!p1&a&b;cycle{1}
!p0&!p1&a&b;p0&p1&!a&b;!p0&p1&a&b;p0&p1&a&b;p0&!p1&a&!b;p0&p1&!a&b;!p0&!p1&!a&!b;!p0&!p1&a&b;!p0&p1&!a&!b;!p0&p1&!a&b;cycle{1}
!p0&!p1&a&b;p0&!p1&a&b;!p0&!p1&a&!b;p0&p1&!a&!b;p0&p1&a&!b;p0&p1&!a&b;!p0&p1&a&b;!p0&p1&a&b;!p0&!p1&a&!b;p0&!p1&a&b;cycle{1}
!p0&!p1&a&b;p0&p1&!a&!b;p0&!p1&!a&!b;!p0&!p1&!a&!b;!p0&!p1&a&!b;p0&p1&!a&!b;!p0&!p1&a&!b;!p0&!p1&!a&b;p0&!p1&!a&b;p0&p1&a&!b;cycle{1}
!p0&!p1&a&b;p0&p1&a&!b;p0&p1&!a&b;!p0&p1&a&!b;p0&p1&!a&!b;!p0&p1&a&!b;p0&!p1&a&b;!p0&!p1&!a&!b;p0&!p1&!a&b;!p0&p1&a&b;cycle{1}
!p0&p1&!a&b;!p0&!p1&a&!b;!p0&p1&a&b;p0&p1&!a&!b;!p0&!p1&!a&b;p0&p1&a&b;p0&!p1&!a&!b;!p0&p1&a&b;!p0&!p1&a&b;p0&p1&!a&b;cycle{1}
p0&!p1&a&!b;!p0&p1&a&!b;p0&p1&a&b;!p0&!p1&!a&!b;p0&!p1&!a&!b;!p0&p1&a&!b;p0&!p1&a&!b;p0&!p1&a&!b;!p0&p1&a&!b;p0&!p1&!a&!b;cycle{1}
p0&p1&a&!b;!p0&p1&!a&!b;!p0&!p1&a&!b;p0&!p1&!a&b;!p0&!p1&!a&b;!p0&!p1&a&b;p0&p1&!a&!b;!p0&p1&!a&!b;p0&p1&a&!b;p0&p1&a&b;cycle{1}
!p0&!p1&a&!b;!p0&p1&a&b;p0&!p1&a&b;p0&p1&!a&b;p0&!p1&a&!b;!p0&!p1&!a&!b;!p0&p1&!a&!b;p0&p1&!a&!b;!p0&!p1&!a&!b;p0&p1&!a&b;cycle{1}
!p0&!p1&a&b;!p0&!p1&!a&!b;!p0&p1&!a&!b;!p0&!p1&a&!b;!p0&p1&a&!b;p0&!p1&!a&!b;p0&p1&!a&b;p0&p1&!a&b;!p0&!p1&a&!b;!p0&!p1&!a&b;cycle{1}
p0&!p1&a&b;p0&!p1&!a&!b;!p0&p1&!a&b;!p0&p1&!a&b;p0&!p1&a&b;!p0&p1&a&b;p0&p1&!a&!b;!p0&!p1&a&!b;p0&p1&!a&b;p0&!p1&a&b;cycle{1}
!p0&!p1&!a&!b;!p0&!p1&a&!b;p0&p1&a&b;p0&!p1&a&!b;!p0&p1&a&b;p0&!p1&!a&b;p0&p1&a&!b;p0&p1&a&b;!p0&p1&a&!b;p0&!p1&a&b;cycle{1}
!p0&!p1&a&b;!p0&p1&a&b;!p0&p1&a&!b;p0&p1&!a&b;!p0&p1&a&!b;!p0&p1&!a&b;p0&!p1&!a&b;p0&!p1&a&!b;p0&!p1&!a&b;p0&!p1&!a&!b;cycle{1}
p0&p1&!a&b;!p0&!p1&a&b;p0&p1&!a&b;!p0&p1&!a&b;!p0&!p1&a&b;p0&p1&a&b;!p0&p1&!a&b;!p0&p1&!a&!b;!p0&!p1&a&b;p0&!p1&!a&!b;cycle{1}
!p0&p1&a&!b;!p0&!p1&a&b;p0&!p1&!a&b;p0&!p1&!a&b;p0&!p1&!a&b;p0&p1&!a&!b;!p0&p1&a&b;p0&p1&a&!b;p0&!p1&!a&!b;p0&!p1&!a&!b;cycle{1}
!p0&p1&a&!b;p0&!p1&a&!b;!p0&!p1&a&b;p0&p1&!a&b;p0&!p1&a&!b;!p0&p1&a&!b;!p0&!p1&a&!b;p0&!p1&a&b;p0&p1&a&!b;!p0&!p1&!a&b;cycle{1}
!p0&!p1&!a&b;!p0&p1&!a&!b;p0&p1&!a&!b;!p0&p1&!a&b;!p0&!p1&a&b;!p0&p1&!a&!b;!p0&!p1&!a&!b;p0&p1&!a&!b;!p0&!p1&a&b;p0&p1&a&b;cycle{1}
p0&p1&a&b;!p0&p1&a&b;!p0&p1&a&b;p0&p1&a&b;!p0&!p1&!a&b;!p0&!p1&a&!b;!p0&p1&!a&!b;!p0&!p1&!a&b;!p0&!p1&!a&!b;!p0&!p1&!a&!b;cycle{1}
!p0&p1&a&b;p0&!p1&!a&!b;!p0&p1&!a&b;!p0&!p1&!a&!b;p0&p1&a&b;p0&p1&!a&!b;p0&p1&a&b;!p0&!p1&a&b;!p0&!p1&!a&b;p0&p1&!a&!b;cycle{1}
!p0&!p1&a&!b;p0&p1&a&!b;p0&p1&!a&!b;!p0&!p1&a&!b;p0&p1&!a&b;!p0&!p1&!a&!b;p0&p1&!a&!b;!p0&p1&a&b;p0&p1&!a&b;p0&!p1&!a&b;cycle{1}
