tlsf_name,success,realizable,num_states,num_inputs,num_outputs,error
09,False,,,,,"No HOA output. stderr: free(): invalid pointer
"
full_arbiter_enc,True,True,1362,3,4,
diagonal-real,True,True,3,7,2,
thermostat-GF-real,True,True,142,14,4,
ordered-visits-choice-real,True,True,1,8,1,
heim-buechi-real,True,True,38,14,1,
03,True,True,78,5,5,
heim-double-x-real,True,True,11,14,1,
chain-simple-5-real,True,True,24,12,2,
chain-simple-10-real,True,True,39,12,2,
ordered-visits-real,True,True,1,9,1,
elevator-paper-real,True,True,13,7,2,
evasion-real,True,True,13,13,4,
f-real-real,True,True,22,11,3,
gf-real-real,True,True,19,6,1,
chain-simple-20-real,True,True,69,13,2,
chain-simple-30-real,True,True,99,14,2,
infinite-race-real,True,True,6,5,1,
chain-simple-50-real,True,True,159,14,2,
chain-simple-param-70-real,True,True,13,15,2,
infinite-race-unequal-1-real,True,True,7,12,1,
chain-simple-70-real,True,True,219,15,2,
chain-simple-60-real,True,True,189,14,2,
chain-simple-40-real,True,True,129,14,2,
g-real-real,True,True,16,16,2,
